index,axis-0,axis-1
0,0,352
1,4,199
2,14,40
3,21,415
4,25,460
5,28,222
6,38,208
7,39,192
8,42,303
9,50,318
10,51,371
11,52,275
12,53,487
13,54,399
14,61,156
15,72,126
16,124,321
17,147,213
18,164,129
19,172,399
20,176,4
21,176,45
22,179,3
23,179,23
24,180,64
25,181,40
26,182,32
27,186,323
28,191,93
29,192,483
30,195,7
31,196,84
32,200,20
33,200,49
34,212,110
35,214,103
36,215,68
37,216,82
38,219,197
39,219,418
40,221,119
41,221,314
42,223,72
43,226,322
44,232,408
45,235,399
46,242,147
47,243,367
48,260,360
49,261,168
50,262,116
51,262,140
52,269,118
53,276,273
54,276,313
55,285,243
56,293,198
57,294,150
58,296,358
59,301,361
60,305,137
61,306,116
62,322,237
63,324,134
64,328,149
65,335,133
66,338,110
67,342,250
68,354,79
69,363,3
70,366,59
71,371,71
72,373,91
73,380,96
74,380,163
75,387,92
76,395,117
77,406,310
78,408,0
79,420,215
80,427,9
81,430,391
82,431,344
83,432,314
84,443,323
85,449,366
86,461,330
87,464,281
88,482,386
89,484,4
90,493,77
91,508,10
92,511,29
