index,axis-0,axis-1
0,0,84
1,0,104
2,0,125
3,0,216
4,0,343
5,0,475
6,1,287
7,3,97
8,4,260
9,6,375
10,6,435
11,9,32
12,10,47
13,10,503
14,11,399
15,12,112
16,13,485
17,13,497
18,14,66
19,15,62
20,15,365
21,17,399
22,18,53
23,20,47
24,21,33
25,22,88
26,22,98
27,22,183
28,23,75
29,23,279
30,23,498
31,24,507
32,25,459
33,26,58
34,26,485
35,27,61
36,28,90
37,28,398
38,31,412
39,32,82
40,32,110
41,33,46
42,36,103
43,37,244
44,40,126
45,41,27
46,41,39
47,41,261
48,42,220
49,42,389
50,44,237
51,44,336
52,44,466
53,45,229
54,45,331
55,49,81
56,49,263
57,50,53
58,50,89
59,50,113
60,50,216
61,50,245
62,50,504
63,52,441
64,53,241
65,54,458
66,55,208
67,56,107
68,58,114
69,59,167
70,59,317
71,60,425
72,60,502
73,61,232
74,61,303
75,62,239
76,62,428
77,63,115
78,63,500
79,64,53
80,64,136
81,64,224
82,64,378
83,66,87
84,66,124
85,66,132
86,66,439
87,67,160
88,67,238
89,70,163
90,70,245
91,71,134
92,71,157
93,72,131
94,72,308
95,72,502
96,73,341
97,75,493
98,76,417
99,76,510
100,77,134
101,78,48
102,79,144
103,80,179
104,80,340
105,81,103
106,81,137
107,81,484
108,82,260
109,83,130
110,84,80
111,84,124
112,86,109
113,87,138
114,87,481
115,88,499
116,89,51
117,89,94
118,90,391
119,90,444
120,91,154
121,91,321
122,92,427
123,93,141
124,95,126
125,98,131
126,101,43
127,101,112
128,101,207
129,102,91
130,102,334
131,103,3
132,103,96
133,103,285
134,104,121
135,104,383
136,105,54
137,106,132
138,106,254
139,107,89
140,107,510
141,110,202
142,111,212
143,111,479
144,112,121
145,112,485
146,113,52
147,114,80
148,115,114
149,115,340
150,115,487
151,116,290
152,117,123
153,118,107
154,118,135
155,119,70
156,120,128
157,120,488
158,122,111
159,122,347
160,123,86
161,123,213
162,123,378
163,124,477
164,125,224
165,125,509
166,126,118
167,127,106
168,127,498
169,128,87
170,129,131
171,130,110
172,130,188
173,130,426
174,132,93
175,132,106
176,132,318
177,133,88
178,134,98
179,134,119
180,135,72
181,135,383
182,140,87
183,140,107
184,140,156
185,141,436
186,142,83
187,143,89
188,144,491
189,145,96
190,145,146
191,146,499
192,148,0
193,148,101
194,149,95
195,150,90
196,151,490
197,151,506
198,152,82
199,152,336
200,153,462
201,154,107
202,155,258
203,156,501
204,158,195
205,158,434
206,160,300
207,161,244
208,161,509
209,162,482
210,164,504
211,165,184
212,168,378
213,169,292
214,169,427
215,171,21
216,172,262
217,175,124
218,175,136
219,175,337
220,177,381
221,178,121
222,180,95
223,181,262
224,186,185
225,186,458
226,188,63
227,189,510
228,191,298
229,194,97
230,194,220
231,194,310
232,196,454
233,197,255
234,197,436
235,199,86
236,199,306
237,200,289
