index,axis-0,axis-1
0,8,168
1,10,235
2,13,408
3,24,46
4,35,167
5,41,24
6,44,9
7,44,205
8,46,97
9,47,16
10,48,267
11,54,138
12,55,12
13,58,229
14,66,13
15,70,11
16,71,124
17,72,111
18,72,413
19,73,118
20,80,14
21,80,291
22,84,176
23,87,292
24,104,110
25,105,117
26,107,113
27,116,82
28,117,35
29,118,495
30,121,493
31,124,83
32,124,304
33,126,73
34,138,467
35,139,4
36,147,218
37,152,83
38,153,213
39,158,359
40,158,493
41,160,17
42,171,350
43,175,66
44,178,73
45,178,141
46,183,88
47,184,161
48,188,146
49,189,336
50,190,224
51,191,160
52,191,340
53,193,167
54,193,206
55,193,226
56,195,105
57,195,219
58,196,225
59,198,153
60,198,223
61,200,497
62,204,241
63,206,119
64,208,55
65,210,151
66,212,136
67,213,146
68,214,196
69,215,111
70,217,143
71,221,199
72,222,429
73,224,368
74,226,436
75,228,201
76,234,444
77,242,424
78,246,65
79,246,404
80,247,91
81,247,376
82,248,393
83,249,409
84,250,147
85,251,140
86,251,405
87,252,142
88,252,397
89,253,61
90,253,152
91,254,401
92,256,152
93,258,80
94,259,118
95,259,151
96,261,87
97,262,111
98,263,76
99,263,492
100,264,145
101,264,412
102,264,425
103,265,155
104,265,439
105,266,19
106,266,133
107,267,21
108,267,153
109,267,493
110,268,313
111,268,489
112,269,150
113,272,21
114,275,447
115,276,127
116,276,258
117,281,166
118,281,389
119,281,395
120,283,398
121,284,405
122,286,111
123,286,395
124,288,124
125,290,380
126,290,396
127,291,392
128,293,152
129,295,166
130,299,117
131,303,167
132,307,167
133,308,172
134,323,453
135,326,447
136,331,303
137,331,412
138,333,408
139,333,482
140,335,416
141,336,467
142,342,460
143,343,243
144,346,237
145,350,107
146,351,76
147,351,381
148,352,240
149,354,61
150,355,197
151,355,384
152,357,460
153,361,144
154,362,382
155,364,145
156,364,151
157,365,141
158,367,192
159,374,149
160,375,302
161,376,299
162,377,502
163,378,84
164,378,168
165,379,78
166,380,161
167,381,165
168,382,466
169,385,452
170,385,457
171,386,461
172,393,451
173,403,502
174,411,223
175,419,49
176,419,163
177,420,236
178,421,433
179,421,490
180,422,59
181,425,356
182,427,340
183,428,463
184,434,497
185,435,243
186,436,339
187,437,475
188,442,119
189,445,387
190,446,257
191,447,408
192,448,306
193,448,316
194,449,4
195,450,336
196,450,353
197,450,476
198,452,380
199,454,320
200,455,107
201,456,371
202,458,374
203,460,465
204,461,374
205,462,78
206,462,464
207,466,113
208,466,462
209,472,404
210,479,286
211,480,108
212,482,182
213,482,186
214,483,179
215,485,197
216,486,177
