index,axis-0,axis-1
0,2,54
1,10,209
2,13,449
3,15,165
4,16,470
5,17,246
6,18,118
7,19,327
8,23,36
9,24,349
10,25,236
11,27,0
12,28,170
13,28,180
14,32,267
15,33,177
16,35,201
17,39,363
18,44,501
19,46,156
20,48,204
21,54,34
22,63,274
23,65,81
24,69,90
25,71,28
26,71,499
27,75,415
28,78,311
29,79,473
30,81,303
31,81,397
32,86,248
33,86,310
34,86,367
35,87,293
36,92,107
37,94,114
38,95,210
39,97,385
40,105,74
41,109,206
42,109,247
43,117,178
44,120,445
45,131,213
46,132,271
47,133,293
48,135,280
49,140,96
50,144,290
51,155,405
52,162,166
53,169,161
54,169,452
55,172,337
56,174,217
57,175,338
58,176,224
59,177,73
60,186,373
61,191,457
62,197,164
63,199,113
64,200,458
65,226,249
66,230,328
67,243,484
68,246,368
69,252,114
70,253,10
71,254,337
72,257,108
73,268,434
74,280,273
75,284,176
76,284,407
77,290,116
78,292,168
79,296,387
80,298,128
81,298,423
82,299,397
83,303,44
84,303,343
85,305,274
86,308,135
87,309,24
88,309,102
89,311,17
90,318,362
91,325,436
92,327,16
93,330,266
94,333,492
95,341,133
96,350,498
97,351,484
98,358,490
99,359,476
100,366,416
101,366,432
102,367,444
103,385,24
104,401,66
105,407,506
106,408,328
107,409,150
108,426,307
109,431,139
110,431,159
111,431,293
112,435,342
113,437,32
114,442,353
115,444,410
116,447,22
117,448,427
118,450,5
119,454,296
120,458,335
121,459,151
122,463,318
123,464,413
124,469,94
125,469,303
126,469,465
127,472,132
128,480,22
129,480,219
130,481,173
131,482,426
132,484,361
133,484,365
134,498,200
