index,axis-0,axis-1
0,0,61
1,0,91
2,0,296
3,0,316
4,0,331
5,2,58
6,2,182
7,2,192
8,2,310
9,2,363
10,2,404
11,4,98
12,4,108
13,4,308
14,4,317
15,4,377
16,4,468
17,5,32
18,5,148
19,6,182
20,6,256
21,7,457
22,7,499
23,8,37
24,8,296
25,8,356
26,8,485
27,9,158
28,9,231
29,9,249
30,10,1
31,10,275
32,10,473
33,11,38
34,11,180
35,11,221
36,11,223
37,11,410
38,12,187
39,12,335
40,13,131
41,13,240
42,13,283
43,14,127
44,14,320
45,15,316
46,16,71
47,16,133
48,16,200
49,16,337
50,17,184
51,17,223
52,17,242
53,17,366
54,18,18
55,18,117
56,19,206
57,20,471
58,21,78
59,22,55
60,22,63
61,22,448
62,22,489
63,23,99
64,23,101
65,23,204
66,23,264
67,24,21
68,24,113
69,24,465
70,25,47
71,25,120
72,25,207
73,25,497
74,26,44
75,26,163
76,26,269
77,26,432
78,27,205
79,27,261
80,27,390
81,27,440
82,27,508
83,28,272
84,28,450
85,28,511
86,29,214
87,29,322
88,29,419
89,30,66
90,30,103
91,30,199
92,30,441
93,31,413
94,31,425
95,32,23
96,32,199
97,32,355
98,32,445
99,33,216
100,34,98
101,34,394
102,34,422
103,34,459
104,36,169
105,36,448
106,37,65
107,38,10
108,38,123
109,38,190
110,38,382
111,38,509
112,39,188
113,39,283
114,40,115
115,40,305
116,40,359
117,40,361
118,41,14
119,41,472
120,42,22
121,42,203
122,42,282
123,42,316
124,42,366
125,43,141
126,43,158
127,43,380
128,44,338
129,44,368
130,45,23
131,45,111
132,45,115
133,45,218
134,45,254
135,45,297
136,45,381
137,46,6
138,46,196
139,46,280
140,47,138
141,47,149
142,47,254
143,48,127
144,48,131
145,48,267
146,48,328
147,48,380
148,48,394
149,48,441
150,49,185
151,50,56
152,50,99
153,50,224
154,50,292
155,51,1
156,51,29
157,51,476
158,52,240
159,53,271
160,54,65
161,54,109
162,54,229
163,54,374
164,55,61
165,55,120
166,55,389
167,56,202
168,56,431
169,56,457
170,56,496
171,57,28
172,57,79
173,57,83
174,57,182
175,57,402
176,57,451
177,58,52
178,58,122
179,58,332
180,59,301
181,59,313
182,60,158
183,60,296
184,61,104
185,61,221
186,61,264
187,61,502
188,62,389
189,63,8
190,63,221
191,63,284
192,63,481
193,64,104
194,64,296
195,65,91
196,65,176
197,65,184
198,65,200
199,65,413
200,66,46
201,67,26
202,67,94
203,67,248
204,67,467
205,68,297
206,68,463
207,69,128
208,69,198
209,69,216
210,69,245
211,69,339
212,69,398
213,69,499
214,70,62
215,70,307
216,70,326
217,71,273
218,72,38
219,73,214
220,73,337
221,74,57
222,74,108
223,74,473
224,74,503
225,75,198
226,75,240
227,75,270
228,75,303
229,75,366
230,76,305
231,77,144
232,77,321
233,77,363
234,78,95
235,78,194
236,78,374
237,79,204
238,79,454
239,80,37
240,80,75
241,80,82
242,80,222
243,81,119
244,81,282
245,81,483
246,82,24
247,82,52
248,82,106
249,83,43
250,83,363
251,83,398
252,83,423
253,84,419
254,84,490
255,86,130
256,86,227
257,86,230
258,86,289
259,86,297
260,86,454
261,88,139
262,88,163
263,88,258
264,88,372
265,88,419
266,89,425
267,90,32
268,90,306
269,90,509
270,91,27
271,91,84
272,91,392
273,91,458
274,92,317
275,93,26
276,93,346
277,93,396
278,93,449
279,94,17
280,94,28
281,95,33
282,95,92
283,95,397
284,95,400
285,96,151
286,96,325
287,97,171
288,97,231
289,97,239
290,97,332
291,97,343
292,97,435
293,98,234
294,98,482
295,99,85
296,99,137
297,99,259
298,99,333
299,99,498
300,100,20
301,100,99
302,101,64
303,101,298
304,101,483
305,102,145
306,102,475
307,102,490
308,103,42
309,103,123
310,103,216
311,103,306
312,103,506
313,104,35
314,104,395
315,105,264
316,105,460
317,106,69
318,106,206
319,107,45
320,108,305
321,108,459
322,109,16
323,109,80
324,109,192
325,109,200
326,109,377
327,109,410
328,109,452
329,110,4
330,110,160
331,110,236
332,110,243
333,111,40
334,111,337
335,112,62
336,112,75
337,112,170
338,112,350
339,112,355
340,113,137
341,113,330
342,114,6
343,114,107
344,114,213
345,114,226
346,114,284
347,114,351
348,114,359
349,115,473
350,116,44
351,116,421
352,117,362
353,118,11
354,118,328
355,118,400
356,119,7
357,119,249
358,119,348
359,120,15
360,120,236
361,120,377
362,120,405
363,121,426
364,122,150
365,122,177
366,123,427
367,124,263
368,124,477
369,125,20
370,126,102
371,126,110
372,126,118
373,126,238
374,126,443
375,127,388
376,128,297
377,128,453
378,129,115
379,129,123
380,129,279
381,129,462
382,130,95
383,130,363
384,131,40
385,131,46
386,131,140
387,131,256
388,131,265
389,132,187
390,132,289
391,132,342
392,132,440
393,132,474
394,133,65
395,133,276
396,135,195
397,137,13
398,137,428
399,138,127
400,138,245
401,138,337
402,138,432
403,139,267
404,139,274
405,139,480
406,139,499
407,140,158
408,140,172
409,140,219
410,140,344
411,140,382
412,141,2
413,142,84
414,142,241
415,143,80
416,143,145
417,143,442
418,144,216
419,144,233
420,144,334
421,144,341
422,144,378
423,145,148
424,145,236
425,145,239
426,145,293
427,145,502
428,146,17
429,146,252
430,146,283
431,146,410
432,146,448
433,147,287
434,147,435
435,147,464
436,148,1
437,148,165
438,148,233
439,149,52
440,149,69
441,149,213
442,149,270
443,150,96
444,150,129
445,150,159
446,151,207
447,151,272
448,151,367
449,151,391
450,151,469
451,151,490
452,151,501
453,152,250
454,152,310
455,152,355
456,153,81
457,153,252
458,153,381
459,153,451
460,154,341
461,154,473
462,156,122
463,156,126
464,156,372
465,156,416
466,156,431
467,157,1
468,157,45
469,157,298
470,159,107
471,159,193
472,160,98
473,160,154
474,160,279
475,161,505
476,162,57
477,162,65
478,162,121
479,163,128
480,163,301
481,163,414
482,164,181
483,164,187
484,164,361
485,165,282
486,165,312
487,165,428
488,166,232
489,167,94
490,167,459
491,167,465
492,169,34
493,169,53
494,169,81
495,169,243
496,169,385
497,169,406
498,169,450
499,169,472
500,169,503
501,170,47
502,170,237
503,170,323
504,170,410
505,170,456
506,171,378
507,171,509
508,172,458
509,173,207
510,173,219
511,173,350
512,173,453
513,174,101
514,174,159
515,174,307
516,174,392
517,174,436
518,175,206
519,175,269
520,176,84
521,176,343
522,176,365
523,176,437
524,176,503
525,177,64
526,177,219
527,177,371
528,178,215
529,178,434
530,178,447
531,179,173
532,179,313
533,180,100
534,180,177
535,180,249
536,180,467
537,181,201
538,181,459
539,182,86
540,183,244
541,183,263
542,184,34
543,184,63
544,184,81
545,184,407
546,185,376
547,185,433
548,186,70
549,187,127
550,187,180
551,187,449
552,188,51
553,188,416
554,188,475
555,189,152
556,189,238
557,189,302
558,189,454
559,190,195
560,190,358
561,190,433
562,191,41
563,191,208
564,191,273
565,191,402
566,192,420
567,192,510
568,193,149
569,193,197
570,193,318
571,193,346
572,194,42
573,194,213
574,194,404
575,194,454
576,195,335
577,195,424
578,196,5
579,196,428
580,196,435
581,197,141
582,197,354
583,197,359
584,198,75
585,198,376
586,198,386
587,199,10
588,199,151
589,199,396
590,199,455
591,199,461
592,200,385
593,200,479
594,200,490
595,201,52
596,201,60
597,201,190
598,202,9
599,203,91
600,203,166
601,203,416
602,204,0
603,205,33
604,205,78
605,205,282
606,205,307
607,206,1
608,206,115
609,207,26
610,207,218
611,207,298
612,208,156
613,208,230
614,208,325
615,208,378
616,209,128
